2024-01-27 17:16:52 INFO  cic.cs.unb.ca.ifm.Cmd    Please select pcap!
2024-01-27 17:17:05 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.PacketReader    Read All packets on C:\Users\mahal\Downloads\helloworld.pcap
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
